Product Name,Current Price,Old Price,Discount,Rating,Vendor
"AOCWEI 14.1"" Intel Celeron N4020 6GB+256GB, SSD Support 1 TB，2.4G+5G Wi-Fi,1920*1080 Laptop Blue",294325.0,547000.0,0.46,4.6,Jumia
"AOCWEI Laptop Windows 11 Intel Celeron 6GB+256GB SSD 15.6"" 1920*1080 2.4G+5G WiFi +mouse",290900.0,1666000.0,0.83,5.0,Jumia
Hp Refurbished EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD Win 11 Pro,400660.0,500000.0,0.2,0.0,Jumia
"WOZIFAN 14.1""Intel Celeron N4020 6GB+256GB,SSD Support To 1 TB，2.4G+5G Wi-Fi,1920*1080 Laptop Blue",260300.0,1606500.0,0.84,3.8,Jumia
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10,135000.0,0.0,0.0,5.0,Jumia
Lenovo ThinkPad X1 Carbon G9 Touchscreen 11th Gen Intel Core I7-16GB Ram-512GB SSD-WIN 10 PRO,1658000.0,1780000.0,0.07,4.0,Jumia
XIAOMI Mi Pad 2 16 Or 64GB Windows 10 OS Tablet,75999.0,99999.0,0.24,5.0,Jumia
Lenovo IdeaPad 3 Gaming Laptop Ryzen 7-16GB RAM 512GB SSD + 1TB HDD  NVIDIA GeForce GTX 1650 Ti Win 10,1328000.0,1485000.0,0.11,4.5,Jumia
"Lenovo Thinkpad E570 Energy Star PC - Intel Core I3-6006U - 4GB RAM, 500GB HDD - Win 10 Pro",638000.0,658000.0,0.03,0.0,Jumia
Lenovo IdeaPad 3 Gaming Laptop Ryzen 7-8GB RAM 512GB SSD + 1TB HDD  NVIDIA GeForce GTX 1650 Ti Win 10,1285000.0,1368000.0,0.06,5.0,Jumia
"Toshiba Portege X30W-J X360 Touchscreen 11Th Gen Intel Core I5,1TB SSD, 16GB RAM,13.3"",Win 10 Pro",868000.0,938000.0,0.07,0.0,Jumia
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I7-1165G7 Quad-Core-8GB RAM-256GB SSD-Black",1118000.0,1138000.0,0.02,0.0,Jumia
Lenovo THINKPAD X1 CARBON GEN 8 CORE I7-1035G7 512GB SSD 16GB RAM,993900.0,0.0,0.0,0.0,Jumia
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-256GB SSD-Black",890000.0,958000.0,0.07,0.0,Jumia
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-16GB RAM-512GB SSD-Win 10 Pro",958000.0,985000.0,0.03,5.0,Jumia
Acer TRAVELMATE B3 TMB311 CELERON N4020 4GB RAM 64GB HDD,226850.0,0.0,0.0,0.0,Jumia
"DELL Latitude 3310 11Th Gen Intel®️ Core™️ I5-Quad Core 256GB SSD 8GB RAM 13.3""WIN10 Pro",658000.0,698000.0,0.06,0.0,Jumia
"Lenovo Thinkpad E570 Energy Star PC - Intel Core I3-6006U - 8GB RAM, 512GB SSD - Win 10 Pro",678000.0,698000.0,0.03,5.0,Jumia
"DELL Latitude 3310 Intel®️ Core™️ I5-Quad Core 256GB SSD 16GB RAM 13.3""WIN10 Pro",685000.0,725000.0,0.06,4.0,Jumia
"DELL Latitude 3420-14"" FHD-11th Gen Intel Core I5-1135G7 Quad-Core-8GB RAM-256GB SSD-Black",858000.0,898000.0,0.04,0.0,Jumia
Hp Notebook 14 Intel Celeron Dual Core N4020 8GB RAM 1TB HDD WIN 10,438000.0,468000.0,0.06,5.0,Jumia
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,170000.0,200000.0,0.15,3.9,Jumia
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch,143000.0,180000.0,0.21,4.3,Jumia
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,270000.0,900000.0,0.7,4.0,Jumia
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,395000.0,398450.0,0.01,4.4,Jumia
"DELL Latitude 7370 Intel Core I5 Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11",380000.0,450000.0,0.16,4.0,Jumia
"DELL Latitude 3190 Intel Celeron 128GB SSD, 4GB RAM Wins 10 + Flash Light",150000.0,300000.0,0.5,5.0,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,155000.0,250000.0,0.38,4.6,Jumia
Hp ProBook 11 X360- TOUCH- 512GB SSD/8GB RAM-Intel CORE I5- Windows 11 + 64GB Flash & BAG,350000.0,400000.0,0.13,4.0,Jumia
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,193000.0,220000.0,0.12,3.7,Jumia
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ BAG AND LIGHT FOR Keyboard,130000.0,0.0,0.0,4.6,Jumia
Ace Elec ACE 15.6'' Intel Celeron N5095A 4Core CPU 16GB+512GB Laptop Black,339000.0,1699000.0,0.8,0.0,Jumia
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,515000.0,770900.0,0.33,4.3,Jumia
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,185000.0,295000.0,0.37,3.7,Jumia
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,465000.0,800000.0,0.42,4.5,Jumia
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+Win10 Pro,137000.0,0.0,0.0,3.3,Jumia
Hp Stream 11 Pro - 64GB SSD- Intel Celeron  4GB DDR4 RAM WIN10 Pro + USB Light For Keyboard&Mouse,170000.0,200000.0,0.15,4.4,Jumia
Hp Notebook 14 AMD RYZEN 3- 12GB RAM - 1TB HDD- 2.6GHz - 3.5GHz Windows 10 Pro,325000.0,0.0,0.0,4.3,Jumia
Hp Stream11intel Celeron D/C 64GB HDD+4GB RAM+pouch Win10,138000.0,0.0,0.0,4.3,Jumia
Hp ProBook 11 X360 Intel Celeron 256GB SSD 4GB RAM Touchscreen Win10,220000.0,245000.0,0.1,3.9,Jumia
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,515000.0,770900.0,0.33,5.0,Jumia
Hp STREAM 11 INTEL CELERON® 4GB RAM 32GB EMMC WIN 10+32GB FLASH,125000.0,0.0,0.0,3.8,Jumia
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,260000.0,400000.0,0.35,5.0,Jumia
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,300000.0,800000.0,0.63,5.0,Jumia
DELL Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,215000.0,300000.0,0.28,4.3,Jumia
Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,545000.0,799000.0,0.32,5.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,465000.0,550000.0,0.15,4.4,Jumia
"DELL Latitude 3350, Intel Celeron , 8GB RAM,500GB HDD Windows 10 PRO",220000.0,350000.0,0.37,3.5,Jumia
"DELL Latitude 3190 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light",155000.0,250000.0,0.38,5.0,Jumia
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light",160000.0,250000.0,0.36,3.6,Jumia
"Apple MacBook Air 13"" M1 Chip  8GB 256GB 2020 Model - Gray",1250000.0,0.0,0.0,5.0,Jumia
Hp ProBook 11 X360- TOUCH- 1TB SSD/8GB RAM-Intel CORE I5- Windows 11 PRO LAPTOP + 64GB Flash & BAG,380000.0,800000.0,0.53,5.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,535000.0,690000.0,0.22,0.0,Jumia
"Apple MacBook Pro 16.2"" - 32GB - 1TB - 10 Cores - M1 Max - Silver",4450000.0,0.0,0.0,0.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+BAG,445000.0,550000.0,0.19,4.3,Jumia
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,280000.0,300000.0,0.07,4.3,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,175000.0,300000.0,0.42,5.0,Jumia
Hp Probook 11 G7 X360 Touchscreen 256GB SSD 4GB DDR4 RAM Intel Pentium WIN 10,200000.0,350000.0,0.43,4.8,Jumia
Lenovo Ideapad Intel Celeron 256 SSD 4GB RAM Win 11 PRO,342000.0,390000.0,0.12,4.1,Jumia
"Hp 14 Intel Celeron, 64GB, 4GB, Windows 11 In S Mode",185000.0,0.0,0.0,3.0,Jumia
DELL Latitude 3190 INTEL CELERON 128GB SSD 4GB WIN 10 Pro+pouch,145500.0,0.0,0.0,2.0,Jumia
Hp ProBook 11 X360 TOUCH INTEL CORE I5 512GB SSD- 8GB RAM Windows 11+ 32GB FLASH & POUCH BAG,650000.0,800000.0,0.19,4.5,Jumia
DELL Latitude 3340 Intel Celeron 500GB HDD 8GB RAM Windows 10,250000.0,0.0,0.0,4.5,Jumia
DELL Latitude 3190  INTEL CELERON 128GB SSD 4GB WIN 10 Pro,200000.0,400000.0,0.5,5.0,Jumia
"Apple MacBook Pro 16"" Laptop - M3 Max Chip - 36GB Memory - 30-core GPU - 1TB SSD- Space Black",4450000.0,0.0,0.0,3.0,Jumia
Hp EliteBook 840 G8 11th Gen 16GB RAM/256GB SSD Intel Core I5 Backlit Keyboard/FP Reader Wins 11 Pro,595000.0,680000.0,0.13,3.0,Jumia
DELL Latitude 3450 Core I3 ITB HDD 8GB RAM Wins 10 + Keyboard Flash Light,499000.0,500000.0,0.01,4.6,Jumia
Hp Notebook 15-AMD RYZEN 3 -16GB RAM/1TBGB HDD - Windows 10,345000.0,0.0,0.0,2.0,Jumia
Hp ProBook11 X360-Intel Celeron 512GB 4GBRAM Windows10+MOUSE,209000.0,600000.0,0.65,4.7,Jumia
Hp EliteBook 840 G6 TOUCHSCREEN Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- WIN 11 Pro + BAG,515000.0,790000.0,0.35,2.3,Jumia
"DELL Latitude 3190 Intel Celeron, 4GB RAM,128GB SSD Windows 11 + Keyboard Flash Light",199999.0,350000.0,0.43,4.0,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO HP +Mouse &USB Light For Keyboard,170000.0,200000.0,0.15,0.0,Jumia
DELL Latitude 3450 Core I3 1TB HDD 8GB RAM Wins 10 + Bag,350000.0,0.0,0.0,5.0,Jumia
"Hp Stream 11 2GB, 32GB SSD +32gb Flash,USB LED LIGHT",120000.0,0.0,0.0,0.0,Jumia
DELL Latitude 7490 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11PRO+BAG,790000.0,800000.0,0.01,5.0,Jumia
DELL Latitude 5400 Intel Core I7-1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+ BAG,750000.0,980000.0,0.23,5.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,485000.0,600000.0,0.19,4.0,Jumia
Hp Stream 11 Intel Celeron - 64GB SSD 4GB RAM Windows 10 P,126999.0,0.0,0.0,0.0,Jumia
Hp EliteBook 840 G6 Intel Core I5  Touchscreen 16GB RAM/512GB SSD Win 11 Pro+ Mouse,495800.0,0.0,0.0,2.0,Jumia
"Hp ProBook X360 11Touchscreen Core I5-8GB DDR4, 512GB SSD Win10 Pro Pouch Mouse",325000.0,410000.0,0.21,3.5,Jumia
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,260000.0,349000.0,0.26,0.0,Jumia
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,512GB SSD WIN 11 + Light",275000.0,400000.0,0.31,1.0,Jumia
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,790000.0,1000000.0,0.21,0.0,Jumia
Acer Nitro 17 Gaming 1tb/16gb Ram RTX 4050 AMD RYZEN 7,1750000.0,0.0,0.0,5.0,Jumia
DELL Latitude 7490 TOUCHSCREEN- Intel Core I5- 512GB SSD/16GB RAM -BACKLIGHT KEYBOARD WIN 11PRO+BAG,700000.0,900000.0,0.22,4.5,Jumia
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 8GB RAM Windows10 Pro + Laptop Pouch,290000.0,0.0,0.0,4.3,Jumia
Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO,701000.0,890000.0,0.21,4.7,Jumia
Hp EliteBook 840 G6 Intel Core I5- 32GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,545000.0,1200000.0,0.55,4.0,Jumia
"DELL Alienware M18 R1, RTX 4090, 4TB/64GB I9 13th Gen",5800000.0,0.0,0.0,0.0,Jumia
DELL Latitude 3190 Celeron 128SSD 4GB RAM Wins 10 + Keyboard Flash Light,180000.0,500000.0,0.64,4.5,Jumia
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,140000.0,0.0,0.0,4.0,Jumia
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- FP READER Windows 11 Pro + BAG,530000.0,730000.0,0.27,0.0,Jumia
"DELL Latitude 5490 Intel Core I5- 8GB Ram, 256GB SSD Win 10",395000.0,500000.0,0.21,3.7,Jumia
Lenovo X360 Convertible Intel Celeron 128GB SSD 4GB Ram Touch+pouch Mouse,177000.0,0.0,0.0,5.0,Jumia
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,210000.0,350000.0,0.4,4.0,Jumia
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 11 Pro + BAG,130000.0,0.0,0.0,0.0,Jumia
Hp EliteBook 830 G6 X360 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,550000.0,730000.0,0.25,0.0,Jumia
Hp ELITEBOOK X360 1030 G2 CORE I5 8GB RAM/ 512GB SSD BACKLIT KEYBOARD FP READER WIN 11 PRO,550000.0,700000.0,0.21,4.8,Jumia
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10,135000.0,190500.0,0.29,5.0,Jumia
Hp ProBook 11 X360- TOUCH Intel Celeron 128GB 4GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,190000.0,294000.0,0.35,3.8,Jumia
WOZIFAN Laptop 14 Inch Intel Celeron N4020 PC Portable Win11 RAM 6GB+ROM 256GB SSD,270300.0,1606500.0,0.83,0.0,Jumia
"DELL CHROMEBOOK 11, 4GB RAM, 16GB SSD + 32GBFLASH",140000.0,0.0,0.0,2.7,Jumia
DELL Latitude 7490 TOUCHSCREEN-  Intel Core I5- 512GB SSD/16GB RAM-BACKLIGHT KEYBOARD-WIN 11PRO+BAG,750000.0,880000.0,0.15,1.5,Jumia
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,505000.0,800000.0,0.37,4.3,Jumia
Hp Probook 11 G7 X360 Touchscreen 256GB SSD 4GB DDR4 RAM Intel Pentium WIN 10,200000.0,350000.0,0.43,4.5,Jumia
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,170000.0,200000.0,0.15,4.1,Jumia
"Asus NOTEBOOK 14 INTEL CELERON N4020 4GB RAM 128GB SSD 14"" HD WINS 11",360000.0,395000.0,0.09,4.3,Jumia
Hp EliteBook 830 G6 TOUCHSCREEN Core I5-16GB RAM/1TB SSD/Backlit Keyboard/Windows 11 Pro+BAG,515000.0,850000.0,0.39,4.0,Jumia
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,140000.0,160000.0,0.13,1.0,Jumia
Hp Elitebook X2 1012 G2 Intel Core I5 256GB SSD - 8GB RAM -Backlit-Keypad - Touch Windows 11 PRO + PEN,700000.0,900000.0,0.22,5.0,Jumia
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/256GB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop+ BAG,445000.0,600000.0,0.26,1.0,Jumia
Hp ProBook 11 X360- TOUCH- 256GB SSD/8GB RAM-Intel Ci5- W 11,299999.0,0.0,0.0,0.0,Jumia
"Hp Stream 11 Intel Celeron 4GB,32GB+ 32GB  Wins 10",125000.0,0.0,0.0,4.0,Jumia
"Hp 15 VICTUS GAMING, 13TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (6GB) WINS 11",1330000.0,1490000.0,0.11,4.7,Jumia
Hp EliteBook 830 G5 Intel Core I5-32GB RAM/1TB SSD/Backlit TOUCHSCREEN - FP Reader Wins 11 Pro + BAG,580000.0,700000.0,0.17,0.0,Jumia
"DELL Latitude 3190 Intel Pentium 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light",160000.0,260000.0,0.38,3.8,Jumia
"DELL LATITUDE 3180 CHROMEBOOK, 4GB RAM, 16GB SSD + 32GBFLASH",125000.0,180000.0,0.31,0.0,Jumia
Lenovo Ideapad  Intel Celeron 256 SSD 4GB RAM Win 10 PRO + BAG,308950.0,0.0,0.0,4.3,Jumia
DELL Latitude 7490 TOUCHSCREEN 256GB SSD/8GB RAM/ Intel Core I5/ BACKLIGHT KEYBOARD-WIN 11PRO+BAG,410000.0,600000.0,0.32,3.0,Jumia
"Hp 15 VICTUS GAMING, 13TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (6GB) WINS 11",1310000.0,1420000.0,0.08,5.0,Jumia
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,170000.0,200000.0,0.15,4.0,Jumia
Hp Stream11Intel Celeron4GB RAM-64GB,119990.0,215000.0,0.44,4.0,Jumia
Hp Probook 11X360 Touchsceen Intel Celeron64gb Ssd /4gb Ram+32GB Flash Mouse,165000.0,0.0,0.0,4.5,Jumia
"DELL LATITUDE 3190 2in1 X360 INTEL PENTIUM,TOUCHSCREEN 8GB RAM,128GB SSD WIN 11 + Light",220000.0,350000.0,0.37,0.0,Jumia
