Product Name,Current Price,Old Price,Discount,Rating,Vendor
"AOCWEI 14.1"" Intel Celeron N4020 6GB+256GB, SSD Support 1 TB，2.4G+5G Wi-Fi,1920*1080 Laptop Blue","₦ 294,325","₦ 547,000",46%,4.5 out of 5,Jumia
"WOZIFAN 14.1""Intel Celeron N4020 6GB+256GB,SSD Support To 1 TB，2.4G+5G Wi-Fi,1920*1080 Laptop Blue","₦ 239,258","₦ 1,606,500",85%,3 out of 5,Jumia
"AOCWEI Laptop Windows 11 Intel Celeron 6GB+256GB SSD 15.6"" 1920*1080 2.4G+5G WiFi +mouse","₦ 267,384","₦ 1,666,000",84%,5 out of 5,Jumia
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 270,000","₦ 900,000",70%,4 out of 5,Jumia
"DELL Latitude 3190 Intel Celeron 128GB SSD, 4GB RAM Wins 10 + Flash Light","₦ 148,000","₦ 300,000",51%,5 out of 5,Jumia
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 535,000","₦ 770,900",31%,4.3 out of 5,Jumia
Hp Stream 11 Pro- Intel Celeron - 4GB RAM - 64GB SSD Windows 10 Pro+ Mouse & USB LIGHT FOR Keyboard,"₦ 170,000","₦ 200,000",15%,3.9 out of 5,Jumia
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10,"₦ 135,000",,,5 out of 5,Jumia
Hp Stream 11-Intel Celeron 64gb Ssd/4gb Ram+pouch,"₦ 143,000","₦ 180,000",21%,4.3 out of 5,Jumia
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 8GB RAM WIN10 Pro+ USB LIGHT FOR KEYBOARD,"₦ 220,000","₦ 398,450",45%,4.4 out of 5,Jumia
Hp EliteBook 840 G6 Intel Core I5-8GB RAM/512GB SSD/Backlit Keyboard/FP Reader Wins 11 Laptop +BAG,"₦ 465,000","₦ 800,000",42%,4.5 out of 5,Jumia
"DELL Latitude 3150 Intel Pentium 8GB RAM, 500GB HDD Windows 10 + Keyboard Flash Light","₦ 380,000","₦ 450,000",16%,4 out of 5,Jumia
