Product Name,Current Price,Old Price,Discount,Rating,URL,Photo,Vendor
HP Laptop 15s-fq5268nia 7c7p4ea ...,"₦753,480",,,No reviews yet,https://www.konga.com/product/hp-laptop-15s-fq5268nia-7c7p4ea-512gb-ssd-8gb-ram-6454002,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/D/R/231472_1715603187.jpg",Konga Site
HP Eb650g9 I7-1255u 15 - 512GB S...,"₦1,678,508",,,No reviews yet,https://www.konga.com/product/hp-eb650g9-i7-1255u-15-512gb-ssd-16gb-ram16gb-512-pc-6f1a9ea-6453999,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/T/L/231472_1715607848.jpg",Konga Site
HP Spectre X360 Laptop 14-ef2017...,"₦1,771,432",,,No reviews yet,https://www.konga.com/product/hp-spectre-x360-laptop-14-ef2017nia-9t729ea-1tb-ssd-8gbram-6453995,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/Y/Y/231472_1715612317.jpg",Konga Site
HP Victus Gaming Laptop 15-fa114...,"₦1,140,163","₦1,213,527",- 6%,No reviews yet,https://www.konga.com/product/hp-victus-gaming-laptop-15-fa1149nia-9r8b2ea-512gb-ssd-8gb-ram-6453993,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/M/G/231472_1715602690.jpg",Konga Site
HP Victus Gaming Laptop 15-fa115...,"₦1,291,067","₦1,374,130",- 6%,No reviews yet,https://www.konga.com/product/hp-victus-gaming-laptop-15-fa1157nia-9r8b5ea-8gb-ram-512gb-ssd-6452186,,Konga Site
HP Probook 440 G8 Core I5 - 8gb ...,"₦1,075,582",,,No reviews yet,https://www.konga.com/product/hp-probook-440-g8-core-i5-8gb-ram-512gb-ssd-windows-10pro-365r9ec-6452175,,Konga Site
HP Envy X360 Lovell 20c2 13.3inc...,"₦1,225,347",,,No reviews yet,https://www.konga.com/product/hp-envy-x360-lovell-20c2-13-3inch-core-i5-8gb-ram-512gb-ssd-350q2ea-6452166,,Konga Site
HP Envy Starcraft 20c2 14'' Core...,"₦1,753,662",,,No reviews yet,https://www.konga.com/product/hp-envy-starcraft-20c2-14-core-i7-16gb-ram-1tb-ssd-6452132,,Konga Site
Asus Vivobook Flip 14 90nb0s01-m...,"₦1,037,918",,,No reviews yet,https://www.konga.com/product/asus-vivobook-flip-14-90nb0s01-m00nd0-intel-i-core-o-i5-1135g7-processor-2-4-ghz-8gb-ram-256gb-ssd-6452082,,Konga Site
Asus Vivobook S 14 Flip Intel® C...,"₦1,369,372",,,No reviews yet,https://www.konga.com/product/asus-vivobook-s-14-flip-intel-i-core-o-i7-12700h-processor-2-3-ghz-24m-cache-up-to-4-6452039,,Konga Site
Asus Vivo Pro 15 Intel® Core™ i5...,"₦1,378,095",,,No reviews yet,https://www.konga.com/product/asus-vivo-pro-15-intel-i-core-o-i5-11300h-processor-3-1-ghz-8m-cache-512gb-ssd-4gb-rom-6452026,,Konga Site
HP Elitebook 830 G8 Nb Pcuma i7 ...,"₦1,497,645",,,No reviews yet,https://www.konga.com/product/hp-elitebook-830-g8-nb-pcuma-i7-13-3-16gb-ram-512gb-ssd-windows-11-pro-4l082ea-6451871,,Konga Site
HP Probook 440 G8 Intel Core i5 ...,"₦806,260",,,No reviews yet,https://www.konga.com/product/hp-probook-440-g8-intel-core-i5-8gb-ram-512gb-ssd-2x7f6ea-6451754,,Konga Site
Lenovo Thinkpad E15 Intel Core i...,"₦1,418,412",,,No reviews yet,https://www.konga.com/product/lenovo-thinkpad-e15-intel-core-i7-1165g7-8gb-ram-256gb-ssd-15-6-black-6451662,,Konga Site
HP Probook 440 G8 I5 Notebook Pc...,"₦692,068",,,No reviews yet,https://www.konga.com/product/hp-probook-440-g8-i5-notebook-pc-2x7u7ea-6451535,,Konga Site
HP Probook 400 440 G8 Core I3 8g...,"₦586,768",,,No reviews yet,https://www.konga.com/product/hp-probook-400-440-g8-core-i3-8gb-256gb-2x7u5ea-6451533,,Konga Site
HP Probook Notebook 450 G8 Core ...,"₦834,964",,,No reviews yet,https://www.konga.com/product/hp-probook-notebook-450-g8-core-i5-1135g7-processor-2-4-ghz-3c3d9es-512-gb-pcie-i-nvme-ssd-6451517,,Konga Site
HP 240 G9 I7-1255u 14 8gb 256GB ...,"₦832,100","₦924,600",- 10%,No reviews yet,https://www.konga.com/product/hp-hp-240-g9-i7-1255u-14-8gb-256gb-pc-777m2es-6304148,,Konga Site
HP 250g9 I7-1255u 15 8gb/512GB P...,"₦864,100","₦960,200",- 10%,No reviews yet,https://www.konga.com/product/hp-hp-250g9-i7-1255u-15-8gb-512gb-pc-freedos-6s6v4ea-6304147,,Konga Site
HP Probook 450 G9 Notebook Pc 15...,"₦973,200","₦1,081,400",- 10%,No reviews yet,https://www.konga.com/product/hp-hp-probook-450-g9-notebook-pc-15-6-freedos-intel-core-i7-16gb-ram-512gb-ssd-6a2b8ea-6304144,,Konga Site
"HP Probook 450 G9 Notebook 15.6""...","₦1,348,300","₦1,348,300",- 10%,No reviews yet,https://www.konga.com/product/hp-probook-450-g9-notebook-15-6-freedos-intel-core-i7-8gb-ram-512gb-ssd-nvidia-geforce-mx570-6a2a6ea-6304141,,Konga Site
HP Probook 430 G8 Notebook Pc- 1...,"₦1,081,400","₦1,081,400",- 10%,No reviews yet,https://www.konga.com/product/hp-probook-430-g8-notebook-pc-13-3-freedos-intel-core-i7-8gb-ram-512gb-ssd-hd-2x7t3ea-6304140,,Konga Site
HP Elitebook 840 G8 Notebook Pc|...,"₦1,487,700","₦1,487,700",- 10%,No reviews yet,https://www.konga.com/product/hp-elitebook-840-g8-notebook-pc-14-windows-11-pro-intel-i-core-o-i5-8gb-ram-512gb-4l040ea-6200171,,Konga Site
