prod_title,current_price,old_price,discount,rating,photo,URL,vendor
HP Envy 14 Intel Core i7 1TB SSD 16GB RAM 14 4GB Nvidia Natural Silver eb0021nia,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/3-1-4-300x300.webp,https://pcplaceng.com/product/hp-envy-14-corei71tb-ssd16gb/,PC-PLACE_site
MSI Prestige 14 AI Evo C1MG-002UK 14 Inch Gaming Laptop – Intel Core Ultra 7 155H,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/download-39-300x300.webp,https://pcplaceng.com/product/msi-prestige-14-ai-evo-c1mg-002uk-14-inch-gaming-laptop-intel-core-ultra-7-155h/,PC-PLACE_site
"MSI Prestige Gaming Laptop, 14 AI Evo C1MG-002UK 14 Inch – Intel Core Ultra 7 155H",0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-02T165119.836-300x300.webp,https://pcplaceng.com/product/msi-prestige-gaming-laptop-14-ai-evo-c1mg-002uk-14-inch-intel-core-ultra-7-155h/,PC-PLACE_site
ASUS VivoBook S Laptop S5606MA 16 Inch- Intel Core Ultra 7,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T102352.468-300x300.webp,https://pcplaceng.com/product/asus-vivobook-s-laptop-s5606ma-16-inch-intel-core-ultra-7/,PC-PLACE_site
"MSI Pulse 16 AI Gaming Laptop C1VFKG-002UK 16 Inch- Intel Core Ultra 7 155H, RTX 4060",0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T104651.397-300x300.webp,https://pcplaceng.com/product/msi-pulse-16-ai-gaming-laptop-c1vfkg-002uk-16-inch-intel-core-ultra-7-155h-rtx-4060/,PC-PLACE_site
MSI Prestige 16 AI Studio Laptop – Intel Core Ultra 7 155H – RTX 4050,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T110935.234-300x300.webp,https://pcplaceng.com/product/msi-prestige-16-ai-studio-laptop-intel-core-ultra-7-155h-rtx-4050/,PC-PLACE_site
MSI Prestige 14 AI Evo Gaming Laptop C1MG-002UK 14 Inch- Intel Core Ultra 7 155H,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T112713.578-300x300.webp,https://pcplaceng.com/product/msi-prestige-14-ai-evo-gaming-laptop-c1mg-002uk-14-inch-intel-core-ultra-7-155h/,PC-PLACE_site
Microsoft Surface Pro 2 in 1 Laptop -Copilot+ PC 13 Inch- Snapdragon X Plus + KB Pen2 MS365,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T114330.556-300x300.webp,https://pcplaceng.com/product/microsoft-surface-pro-2-in-1-laptop-copilot-pc-13-inch-snapdragon-x-plus-kb-pen2-ms365/,PC-PLACE_site
HP Spectre x360 2-in-1 Laptop 14-eu0004na 14 inch  – Intel Core Ultra 7 155H,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T121000.416-300x300.webp,https://pcplaceng.com/product/hp-spectre-x360-2-in-1-laptop-14-eu0004na-14-inch-intel-core-ultra-7-155h/,PC-PLACE_site
Microsoft Surface Pro 2-in-1 Laptop -Copilot+ PC 13 Inch – Snapdragon X Plus + Pro KB Slim Pen 2,0.0,0.0,,,https://pcplaceng.com/wp-content/uploads/2024/07/image-2024-07-03T125652.674-300x300.webp,https://pcplaceng.com/product/microsoft-surface-pro-2-in-1-laptop-copilot-pc-13-inch-snapdragon-x-plus-pro-kb-slim-pen-2/,PC-PLACE_site
DELL CHROMEBOOK 3100 INTEL CELERON 32GB 4GB CHROME OS,242000.0,280000.0,,,https://pcplaceng.com/wp-content/uploads/2024/06/image-2024-06-19T140158.674-300x300.webp,https://pcplaceng.com/product/dell-chromebook-3100-intel-celeron-32gb-4gb-chrome-os/,PC-PLACE_site
DELL CHROMEBOOK 3100 2-IN-1 INTEL CELERON 32GB 4GB CHROME 0S,269500.0,299500.0,,,https://pcplaceng.com/wp-content/uploads/2024/06/image-2024-06-19T143213.923-300x300.webp,https://pcplaceng.com/product/dell-chromebook-3100-2-in-1-intel-celeron-32gb-4gb-chrome-0s/,PC-PLACE_site
ASUS 14  4GB RAM 128GB SSD 14.0 FHD WIN 10 CEL-N4020 – STAR BLACK,290000.0,330000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled3-14-1-300x300.jpg,https://pcplaceng.com/product/asus-14-inch-laptop-cel-n4020-4gb-128gb-14-0-fhd-win10-star-black/,PC-PLACE_site
"LENOVO V15-IJL LAPTOP, Intel Celeron N4500 /4GB DDR4/256GB SSD M.2 2242 NVMe/ DOS/15.6″ FHD TN.",290400.0,340000.0,,,https://pcplaceng.com/wp-content/uploads/2024/06/image-2024-06-19T120552.331-300x300.webp,https://pcplaceng.com/product/lenovo-v15-ijl-laptop-intel-celeron-n4500-4gb-ddr4-256gb-ssd-m-2-2242-nvme-dos-15-6-fhd-tn1mp-hd-cam-wi-fi-ac-2x2btn-fpr2-cell-38whr45w-3pin-ukkb-uk-eng1-year-warranty/,PC-PLACE_site
"LENOVO IDEAPAD 3 INTEL CELERON N4020 (81WQ007EUE) 4GB RAM, 1TB HDD",330000.0,350000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/1-300x300.jpg,https://pcplaceng.com/product/lenovo-ideapad-3-intel-celeron-n4020-81wq007eue-4gb-ram-1tb-hdd/,PC-PLACE_site
"LENOVO V15-IGL, INTEL CELERON N4020, 1TB HDD 4GB RAM, 15.6” DISPLAY, WI-FI, BLUETOOTH, NO OPTICAL DRIVE, 2CELL BATTERY, WIN 10",370000.0,455000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled-2021-08-28T151618.928-300x300.jpg,https://pcplaceng.com/product/lenovo-v15-igl-intel-celeron-n4020-1tb-hdd-4gb-ram-15-6-display-wi-fi-bluetooth-no-optical-drive-2cell-battery-win-10/,PC-PLACE_site
"LENOVO V14- ADA 14 AMD A4-3020E, 4GB RAM 1TB HDD – FREEDOS – IRON GREY",385000.0,450000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/Untitled-11-1-300x300.jpg,https://pcplaceng.com/product/lenovo-v14-ada-14-amd-a4-3020e-4gb-ram-1tb-hdd-freedos-iron-grey/,PC-PLACE_site
HP 15 CELERON LAPTOP INTEL N4020 8GB RAM 1TB HARD DRIVE 15” INCHES SCREEN SIZE WIN 10 (BLACK COLOUR),440000.0,480000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-41-300x300.webp,https://pcplaceng.com/product/hp-15-laptop-intel-celeron-n4020-8gb-ram-1tb-hard-drive-15-inches-screen-size-win-10-black-colour/,PC-PLACE_site
HP 240 Laptop G9 Notebook PC 12th Generation Intel® Core™ i3 256GB SSD | 8GB,440000.0,460000.0,,,https://pcplaceng.com/wp-content/uploads/2024/04/c08227578-300x300.webp,https://pcplaceng.com/product/hp-240-g9-14-inch-notebook-pc-inch-notebook-pc-12th-generation-intel-core-i3-256gb-ssd-8gb-freedos/,PC-PLACE_site
HP 14 Pentium cf2241nia Laptop | Hedwig 19C2 |  Silver N5030 quad | 4GB DDR4 1DM 2400 | 500GB 5400RPM.,450000.0,500000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/image-18-300x300.jpg,https://pcplaceng.com/product/hp-14-cf2241nia-laptop-hedwig-19c2-pentium-silver-n5030-quad-4gb-ddr4-1dm-2400-500gb-5400rpm/,PC-PLACE_site
HP 15 Pentium® Silver N5000 128GB SSD 4GB RAM.,450000.0,521000.0,,,https://pcplaceng.com/wp-content/uploads/2023/04/81vAZipgYJL._AC_SX679_-300x300.webp,https://pcplaceng.com/product/hp-15-dw0083-pentium-silver-n5000-128gb-ssd-4gb-ram/,PC-PLACE_site
